Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2018,Oct,65.0,62.7,3395964,3275878,120086,3.5
2018,Nov,65.1,62.8,3401009,3279775,121234,3.6
2018,Dec,65.1,62.8,3404551,3282427,122124,3.6
2019,Jan,65.1,62.8,3404310,3282340,121970,3.6
2019,Feb,65.0,62.7,3399291,3278775,120516,3.5
2019,Mar,64.8,62.5,3391039,3272809,118230,3.5
2019,Apr,64.6,62.4,3382499,3266910,115589,3.4
2019,May,64.4,62.3,3376225,3263234,112991,3.3
2019,Jun,64.3,62.2,3373873,3263061,110812,3.3
2019,Jul,64.3,62.3,3376195,3266943,109252,3.2
2019,Aug,64.4,62.3,3380901,3272718,108183,3.2
2019,Sep,64.4,62.4,3386110,3278500,107610,3.2
2019,Oct,64.5,62.4,3389444,3282061,107383,3.2
2019,Nov,64.4,62.4,3389478,3281975,107503,3.2
2019,Dec,64.4,62.3,3388859,3281209,107650,3.2
2020,Jan,64.4,62.4,3392922,3286146,106776,3.1
2020,Feb,64.4,62.5,3396229,3291040,105189,3.1
2020,Mar,62.2,60.3,3277678,3177786,99892,3.0
2020,Apr,61.2,50.4,3226630,2660808,565822,17.5
2020,May,63.3,55.5,3340305,2930891,409414,12.3
2020,Jun,64.3,57.1,3393875,3017294,376581,11.1
2020,Jul,62.8,57.8,3318673,3057572,261101,7.9
2020,Aug,63.5,59.4,3356226,3141656,214570,6.4
2020,Sep,63.3,59.3,3348571,3139067,209504,6.3
